IDs;Initial Pvalue;Adjusted Pvalue;Fold Change
SssGeH2;1.00000;1.00000;0.000
SsssGeH;1.00000;1.00000;0.000
SssssGe;1.00000;1.00000;0.000
SsAsH2;1.00000;1.00000;0.000
SssAsH;1.00000;1.00000;0.000
SsssAs;1.00000;1.00000;0.000
SsssdAs;1.00000;1.00000;0.000
SsssssAs;1.00000;1.00000;0.000
SsSeH;1.00000;1.00000;0.000
SdSe;1.00000;1.00000;0.000
SssSe;1.00000;1.00000;0.000
SaaSe;1.00000;1.00000;0.000
SdssSe;1.00000;1.00000;0.000
SddssSe;1.00000;1.00000;0.000
SsBr;1.00000;1.00000;0.000
SsSnH3;1.00000;1.00000;0.000
SssSnH2;1.00000;1.00000;0.000
SsssSnH;1.00000;1.00000;0.000
SssssSn;1.00000;1.00000;0.000
SsI;1.00000;1.00000;0.000
SsPbH3;1.00000;1.00000;0.000
SssPbH2;1.00000;1.00000;0.000
SsssPbH;1.00000;1.00000;0.000
SssssPb;1.00000;1.00000;0.000
MIC2;0.95117;1.00000;0.005
MIC3;0.94353;1.00000;0.004
MIC4;0.87565;1.00000;0.003
MIC5;0.99840;1.00000;-0.003
Lipinski;0.98148;1.00000;-0.001
PEOE_VSA2;0.66965;1.00000;-0.012
PEOE_VSA3;0.96648;1.00000;-0.001
PEOE_VSA5;1.00000;1.00000;0.000
PEOE_VSA13;1.00000;1.00000;0.000
SMR_VSA8;1.00000;1.00000;0.000
SlogP_VSA7;1.00000;1.00000;0.000
SlogP_VSA9;1.00000;1.00000;0.000
SlogP_VSA10;1.00000;1.00000;0.000
EState_VSA10;0.94385;1.00000;-0.007
VSA_EState1;1.00000;1.00000;0.000
VSA_EState2;0.99170;1.00000;-0.019
VSA_EState9;1.00000;1.00000;0.000
n3Ring;1.00000;1.00000;0.000
n4Ring;1.00000;1.00000;0.000
n7Ring;1.00000;1.00000;0.000
n8Ring;1.00000;1.00000;0.000
n9Ring;1.00000;1.00000;0.000
n10Ring;1.00000;1.00000;0.000
n11Ring;1.00000;1.00000;0.000
n12Ring;1.00000;1.00000;0.000
nG12Ring;1.00000;1.00000;0.000
n3HRing;1.00000;1.00000;0.000
n4HRing;1.00000;1.00000;0.000
n6HRing;1.00000;1.00000;0.000
n7HRing;1.00000;1.00000;0.000
