;Unnamed: 0;flavordb_id;smiles;applicability_domain;bitter_prob;sweet_prob;SMILES_check;Std_SMILES;Parent_SMILES
2488;2805;5367531;CCCCCCC=CC=CC=O;True;0.1893967443285757;0.8721214443277749;CCCCCCC=CC=CC=O;CCCCCCC=CC=CC=O;CCCCCCC=CC=CC=O
2489;2806;14922;CC(CCCC(=CCO)C)CCC=C(C)C;True;0.2301326608893385;0.5031759589438394;CC(C)=CCCC(C)CCCC(C)=CCO;CC(C)=CCCC(C)CCCC(C)=CCO;CC(C)=CCCC(C)CCCC(C)=CCO
2490;2807;251530;CCCC(=O)OCC(=C)C;True;0.0195513994376314;0.9867430528914708;C=C(C)COC(=O)CCC;C=C(C)COC(=O)CCC;C=C(C)COC(=O)CCC
2491;2808;61403;CCCOC(C)OCCC1=CC=CC=C1;True;0.2151532258959534;0.7417275783410235;CCCOC(C)OCCc1ccccc1;CCCOC(C)OCCc1ccccc1;CCCOC(C)OCCc1ccccc1
2492;2809;11210019;CC1=CC(=C(C=C1)CNC(=O)C(=O)NCCC2=NC=C(C=C2)C)OC;True;0.6431700180870306;0.238186093370587;COc1cc(C)ccc1CNC(=O)C(=O)NCCc1ccc(C)cn1;COc1c(CNC(=O)C(=O)NCCc2ncc(C)cc2)ccc(C)c1;COc1c(CNC(=O)C(=O)NCCc2ncc(C)cc2)ccc(C)c1
2493;2810;31234;C1=CC=C(C=C1)CCCO;True;0.1670900262951207;0.823517018738332;OCCCc1ccccc1;OCCCc1ccccc1;OCCCc1ccccc1
2494;2811;78152;CCCCCCCN=C=S;True;0.5247114377339048;0.0002346938533053;CCCCCCCN=C=S;CCCCCCCN=C=S;CCCCCCCN=C=S
2495;2812;12406;CCCCCCCCCCCCCCCCCCCCCCCCC;True;0.5816666666666667;0.0074744972144489;CCCCCCCCCCCCCCCCCCCCCCCCC;CCCCCCCCCCCCCCCCCCCCCCCCC;CCCCCCCCCCCCCCCCCCCCCCCCC
2496;2813;5987;NS(=O)(=O)O;True;0.5008762866762867;4.5934111509291104e-05;NS(=O)(=O)O;NS(=O)(=O)O;NS(=O)(=O)O
2497;2814;7148;CCC(=O)C1=CC=CC=C1;True;0.183767966003694;0.9334128045617808;CCC(=O)c1ccccc1;CCC(=O)c1ccccc1;CCC(=O)c1ccccc1
2498;2815;5280341;CC(CCC=C(C)CCC=C(C)C)CCO;True;0.2248736193956927;0.3945661294953972;CC(C)=CCCC(C)=CCCC(C)CCO;CC(C)=CCCC(C)=CCCC(C)CCO;CC(C)=CCCC(C)=CCCC(C)CCO
2499;2816;87637;CCCC1=NC(=CN=C1C)C;True;0.4946606928428498;0.2692402980494142;CCCc1nc(C)cnc1C;CCCc1nc(C)cnc1C;CCCc1nc(C)cnc1C
